row,col,condition,strain
A,1,HM9,0
A,2,HM9,0
A,3,HM9,0
A,4,86mM_NaCl,0
A,5,86mM_NaCl,0
A,6,86mM_NaCl,0
A,7,134mM_NaCl,0
A,8,134mM_NaCl,0
A,9,134mM_NaCl,0
A,10,233mM_NaCl,0
A,11,233mM_NaCl,0
A,12,233mM_NaCl,0
B,1,HM9,MG
B,2,HM9,MG
B,3,HM9,MG
B,4,86mM_NaCl,MG
B,5,86mM_NaCl,MG
B,6,86mM_NaCl,MG
B,7,134mM_NaCl,MG
B,8,134mM_NaCl,MG
B,9,134mM_NaCl,MG
B,10,233mM_NaCl,MG
B,11,233mM_NaCl,MG
B,12,233mM_NaCl,MG
D,1,HM9,ALE1
D,2,HM9,ALE1
D,3,HM9,ALE1
D,4,86mM_NaCl,ALE1
D,5,86mM_NaCl,ALE1
D,6,86mM_NaCl,ALE1
D,7,134mM_NaCl,ALE1
D,8,134mM_NaCl,ALE1
D,9,134mM_NaCl,ALE1
D,10,233mM_NaCl,ALE1
D,11,233mM_NaCl,ALE1
D,12,233mM_NaCl,ALE1
E,1,HM9,ALE2
E,2,HM9,ALE2
E,3,HM9,ALE2
E,4,86mM_NaCl,ALE2
E,5,86mM_NaCl,ALE2
E,6,86mM_NaCl,ALE2
E,7,134mM_NaCl,ALE2
E,8,134mM_NaCl,ALE2
E,9,134mM_NaCl,ALE2
E,10,233mM_NaCl,ALE2
E,11,233mM_NaCl,ALE2
E,12,233mM_NaCl,ALE2
F,1,HM9,ALE3
F,2,HM9,ALE3
F,3,HM9,ALE3
F,4,86mM_NaCl,ALE3
F,5,86mM_NaCl,ALE3
F,6,86mM_NaCl,ALE3
F,7,134mM_NaCl,ALE3
F,8,134mM_NaCl,ALE3
F,9,134mM_NaCl,ALE3
F,10,233mM_NaCl,ALE3
F,11,233mM_NaCl,ALE3
F,12,233mM_NaCl,ALE3
G,1,HM9,ALE4
G,2,HM9,ALE4
G,3,HM9,ALE4
G,4,86mM_NaCl,ALE4
G,5,86mM_NaCl,ALE4
G,6,86mM_NaCl,ALE4
G,7,134mM_NaCl,ALE4
G,8,134mM_NaCl,ALE4
G,9,134mM_NaCl,ALE4
G,10,233mM_NaCl,ALE4
G,11,233mM_NaCl,ALE4
G,12,233mM_NaCl,ALE4
H,1,HM9,ALE5
H,2,HM9,ALE5
H,3,HM9,ALE5
H,4,86mM_NaCl,ALE5
H,5,86mM_NaCl,ALE5
H,6,86mM_NaCl,ALE5
H,7,134mM_NaCl,ALE5
H,8,134mM_NaCl,ALE5
H,9,134mM_NaCl,ALE5
H,10,233mM_NaCl,ALE5
H,11,233mM_NaCl,ALE5
H,12,233mM_NaCl,ALE5
